symbol,company,callname
WASL,Wasl Mobility Modaraba,Wasl Mobility Modaraba
WAVES,Waves Corporation Limited,Waves Corporation
WAVESAPP,Waves Home Appliances Limited,Waves Home Appliances
WTL,Worldcall Telecom Limited,Worldcall Telecom
YOUW,Yousaf Weaving Mills Limited,Yousaf Weaving Mills
ZAHID,Zahidjee Textile Mills Limited,Zahidjee Textile Mills
ZAL,Zarea Limited,Zarea Limited
ZELP,Zeal Pak Cement Factory Limited,Zeal Pak Cement Factory
ZIL,ZIL Limited,ZIL Limited
ZTL,Zephyr Textiles Limited,Zephyr Textiles
ZUMA,Zuma Resources Limited,Zuma Resources
