symbol,company,callname
HATM,Hamid Textile Mills Limited,Hamid Textile Mills
HBL,Habib Bank Limited,Habib Bank
HCAR,Honda Atlas Cars (Pakistan) Limited,Honda Atlas Cars
HGFA,HBL Growth Fund,HBL Growth Fund
HICL,Habib Insurance Company Limited,Habib Insurance Company
HIFA,HBL Investment Fund,HBL Investment Fund
HINO,Hinopak Motors Limited,Hinopak Motors
HINOON,Highnoon Laboratories Limited,Highnoon Laboratories
HIRAT,Hira Textile Mills Limited,Hira Textile Mills
HKKT,Hakkim Textile Mills Limited,Hakkim Textile Mills
HMB,Habib Metropolitan Bank Limited,Habib Metropolitan Bank
HMIM,Haji Mohammad Ismail Mills Limited,Haji Mohammad Ismail Mills
HPL,Hoechst Pakistan Limited,Hoechst Pakistan
HRPL,Habib Rice Product Limited.,Habib Rice Product
HSPI,Huffaz Seamless Pipe Industries Limited,Huffaz Seamless Pipe Industries
HTL,Hi-Tech Lubricants Limited,Hi-Tech Lubricants
HUBC,The Hub Power Company Limited,The Hub Power Company
HUMNL,Hum Network Limited,Hum Network
HUSI,Husein Industries Limited,Husein Industries
HWQS,Haseeb Waqas Sugar Mills Limited,Haseeb Waqas Sugar Mills
IBFL,Ibrahim Fibres Limited,Ibrahim Fibres
IBLHL,IBL HealthCare Limited,IBL HealthCare
ICCI,ICC Industries Limited,ICC Industries
ICIBL,Invest Capital Investment Bank Limited,Invest Capital Investment Bank
ICL,Ittehad Chemicals Limted,Ittehad Chemicals Limted
IDEAL,Ideal Dynamics Limited,Ideal Dynamics
IDRT,Idrees Textile Mills Limited,Idrees Textile Mills
IDYM,Indus Dyeing & Manufacturing Co. Limited,Indus Dyeing & Manufacturing Co.
IGIHL,IGI Holdings Limited,IGI Holdings
IGIL,IGI Life Insurance Limited,IGI Life Insurance
ILP,Interloop Limited,Interloop Limited
IMAGE,Image Pakistan Limited,Image Pakistan
IML,Imperial  Limited,Imperial Limited
IMS,Intermarket Securities Limited,Intermarket Securities
INDU,Indus Motor Company Limited,Indus Motor Company
INIL,International Industries Limited,International Industries
INKL,International Knitwear Limited,International Knitwear
INMF,Investec Mutual Fund Limited,Investec Mutual Fund
IPAK,International Packaging Films Limited,International Packaging Films
IREIT,Image Reit,Image Reit
ISIL,Ismail Industries Limited,Ismail Industries
ISL,International Steels Limited,International Steels
ITANZ,Itanz Technologies Limited,Itanz Technologies
ITTEFAQ,Ittefaq Iron Industries Limited,Ittefaq Iron Industries
JATM,J.A. Textile Mills Limited,J.A. Textile Mills
JDMT,Janana De Malucho Textile Mills Limited,Janana De Malucho Textile Mills
JDWS,JDW Sugar Mills Limited,JDW Sugar Mills
JGICL,Jubilee General Insurance Company Ltd.,Jubilee General Insurance Company
JKSM,J.K. Spinning Mills Limited,J.K. Spinning Mills
JLICL,Jubilee Life Insurance Company Limited,Jubilee Life Insurance Company
JSBL,JS Bank Limited,JS Bank
JSCL,Jahangir Siddiqui & Co. Ltd.,Jahangir Siddiqui & Co.
JSGCL,JS Global Capital Limited,JS Global Capital
JSIL,JS Investments Limited,JS Investments
JSML,Jauharabad Sugar Mills Limited,Jauharabad Sugar Mills
JSRR,JS Rental REIT,JS Rental REIT
JUBS,Jubilee Spinning & Weaving Mills Ltd.,Jubilee Spinning & Weaving Mills
JVDC,Javedan Corporation Limited,Javedan Corporation
JVDCPS,Javedan Corporation (Pref),Javedan Corporation
KAKL,Kaiser Arts & Krafts Limited,Kaiser Arts & Krafts
KAPCO,Kot Addu Power Company Limited,Kot Addu Power Company
KCL,Karam Ceramics Limited,Karam Ceramics
KEL,K-Electric Limited,K-Electric Limited
KHTC,Khyber Tobacco Company Limited,Khyber Tobacco Company
KHYT,Khyber Textile Mills Limited,Khyber Textile Mills
KML,Kohinoor Mills Limited,Kohinoor Mills
KOHC,Kohat Cement Company Limited,Kohat Cement Company
KOHE,Kohinoor Energy Limited,Kohinoor Energy
KOHP,Kohinoor Power Company Limited,Kohinoor Power Company
KOHTM,Kohat Textile Mills Limited,Kohat Textile Mills
KOIL,Kohinoor Industries Limited,Kohinoor Industries
KOSM,Kohinoor Spinning Mills Limited,Kohinoor Spinning Mills
KPUS,Khairpur Sugar Mills Limited,Khairpur Sugar Mills
KSBP,KSB Pumps Company Limited,KSB Pumps Company
KSTM,Khalid Siraj Textile Mills Limited,Khalid Siraj Textile Mills
KTML,Kohinoor Textile Mills Limited,Kohinoor Textile Mills
LCI,Lucky Core Industries Limited,Lucky Core Industries
LEUL,Leather Up Limited,Leather Up
LIVEN,Liven Pharma Limited,Liven Pharma
LOADS,Loads Limited,Loads Limited
LOTCHEM,Lotte Chemical Pakistan Limited,Lotte Chemical Pakistan
LPGL,Leiner Pak Gelatine Limited,Leiner Pak Gelatine
LPL,Lalpir Power Limited,Lalpir Power
LSECL,LSE Capital Limited.,LSE Capital
LSEFSL,LSE Financial Services Limited.,LSE Financial Services
LSEVL,LSE Ventures Limited,LSE Ventures
LUCK,Lucky Cement Limited,Lucky Cement
MACFL,MACPAC Films Limited,MACPAC Films
MACTER,Macter International Limited,Macter International
MARI,Mari Energies Limited,Mari Energies
MCB,MCB Bank Limited,MCB Bank
MCBIM,MCB Investment Management Limited.,MCB Investment Management
MDTL,Media Times Limited,Media Times
MEBL,Meezan Bank Limited,Meezan Bank
MEHT,Mehmood Textile Mills Limited,Mehmood Textile Mills
MERIT,Merit Packaging Limited,Merit Packaging
MFFL,Mitchells Fruit Farms Limited,Mitchells Fruit Farms
MFL,Matco Foods Limited,Matco Foods
MFTM,Mohammad Farooq Textile Mills Limited,Mohammad Farooq Textile Mills
MIRKS,Mirpurkhas Sugar Mills Limited,Mirpurkhas Sugar Mills
MLCF,Maple Leaf Cement Factory Limited,Maple Leaf Cement Factory
MOHE,Mohib Exports Limited,Mohib Exports
MQTM,Maqbool Textile Mills Limited,Maqbool Textile Mills
MRNS,Mehran Sugar Mills Limited,Mehran Sugar Mills
MSCL,Metropolitan Steel Corporation Limited,Metropolitan Steel Corporation
MSOT,Masood Textile Mills Limited,Masood Textile Mills
MSOTPS,Masood Textile (Pref),Masood Textile
MTL,Millat Tractors Limited,Millat Tractors
MUBT,Mubarak Textile Mills Limited,Mubarak Textile Mills
MUGHAL,Mughal Iron & Steel Industries Limited,Mughal Iron & Steel Industries
MUGHALC,Mughal Iron & Steel Industries Ltd(C),Mughal Iron & Steel Industries
MUREB,Murree Brewery Company Limited,Murree Brewery Company
MWMP,Mandviwala Mauser Plastic Industries,Mandviwala Mauser Plastic Industries
NAFL,National Fibres Limited,National Fibres
NAGC,Nagina Cotton Mills Limited,Nagina Cotton Mills
NATF,National Foods Limited,National Foods
NATM,Nadeem Textile Mills Limited,Nadeem Textile Mills
NBP,National Bank of Pakistan,National Bank of Pakistan
NCL,Nishat Chunian Limited,Nishat Chunian
NCML,Nazir Cotton Mills Limited,Nazir Cotton Mills
NCPL,Nishat Chunian Power Limited,Nishat Chunian Power
NESTLE,Nestle Pakistan Limited,Nestle Pakistan
NETSOL,NetSol Technologies Limited,NetSol Technologies
NEXT,Next Capital Limited,Next Capital
NICL,Nimir Industrial Chemicals Limited,Nimir Industrial Chemicals
NINA,Nina Industries Limited,Nina Industries
NMFL,Nirala MSR Foods Limited,Nirala MSR Foods
NML,Nishat Mills Limited,Nishat Mills
NONS,Noon Sugar Mills Limited,Noon Sugar Mills
NPL,Nishat Power Limited,Nishat Power
NRL,National Refinery Limited,National Refinery
NRSL,Nimir Resins Limited,Nimir Resins
NSRM,The National Silk & Rayon Mills Limited,The National Silk & Rayon Mills
OBOY,Oilboy Energy Limited,Oilboy Energy
OCTOPUS,Octopus Digital Limited,Octopus Digital
OGDC,Oil & Gas Development Company Limited,Oil & Gas Development Company
OLPL,OLP Financial Services Pakistan Limited,OLP Financial Services Pakistan
OLPM,OLP Modaraba,OLP Modaraba
OML,Olympia Mills Limited,Olympia Mills
ORM,Orient Rental Mod,Orient Rental Mod
OTSU,Otsuka Pakistan Limited,Otsuka Pakistan
PABC,Pakistan Aluminium Beverage Cans Limited,Pakistan Aluminium Beverage Cans
PACE,Pace (Pakistan) Limited,Pace Limited
PAEL,Pak Elektron Limited,Pak Elektron
PAKD,Pak Datacom Limited,Pak Datacom
PAKL,Pak Leather Crafts Limited,Pak Leather Crafts
PAKOXY,Pakistan Oxygen Limited,Pakistan Oxygen
PAKQATAR,Pak Qatar Family Takaful Limited,Pak Qatar Family Takaful
PAKRI,Pakistan Reinsurance Company Limited,Pakistan Reinsurance Company
PAKT,Pakistan Tobacco Company Limited,Pakistan Tobacco Company
PASL,Pervez Ahmed Consultancy Services Ltd.,Pervez Ahmed Consultancy Services
PASM,Paramount Spinning Mills Limited,Paramount Spinning Mills
PCAL,Pakistan Cables Limited,Pakistan Cables
PECO,Pakistan Engineering Company Limited,Pakistan Engineering Company
PGLC,Pak-Gulf Leasing Company Limited,Pak-Gulf Leasing Company
PHDL,Pakistan Hotels Developers Limited,Pakistan Hotels Developers
PIAHCLA,PIA Holding Company Limited,PIA Holding Company
PIAHCLB,PIA Holding Company LimitedB,PIA Holding Company LimitedB
PIBTL,Pakistan International Bulk Terminal,Pakistan International Bulk Terminal
